"buildingKey","floorKey","roomKey","buildingId"
"1168","1","100PC4^46","VUh1aHwxMTY4"
"1171F","1","100S1^76","VUh1aHwxMTcxRg"
"1168","1","100S3^33","VUh1aHwxMTY4"
"1169","1","105^1","VUh1aHwxMTY5"
"1169","1","106A^1","VUh1aHwxMTY5"
"1169","1","106B^1","VUh1aHwxMTY5"
"1169","1","106C^1","VUh1aHwxMTY5"
"1169","1","106D^1","VUh1aHwxMTY5"
"1169","1","107^1","VUh1aHwxMTY5"
"1171F","1","109^1","VUh1aHwxMTcxRg"
"1171F","1","110^1","VUh1aHwxMTcxRg"
"1169","1","112^1","VUh1aHwxMTY5"
"1169","1","113B^1","VUh1aHwxMTY5"
"1169","1","113^1","VUh1aHwxMTY5"
"1169","1","116C^1","VUh1aHwxMTY5"
"1169","1","116^1","VUh1aHwxMTY5"
"1169","1","117A^1","VUh1aHwxMTY5"
"1171F","1","117^1","VUh1aHwxMTcxRg"
"1169","1","118A^1","VUh1aHwxMTY5"
"1169","1","118^1","VUh1aHwxMTY5"
"1169","1","119^1","VUh1aHwxMTY5"
"1169","1","120B^1","VUh1aHwxMTY5"
"1169","1","120C^1","VUh1aHwxMTY5"
"1171F","1","120^1","VUh1aHwxMTcxRg"
"1169","1","124C^1","VUh1aHwxMTY5"
"1169","1","124M^1","VUh1aHwxMTY5"
"1169","1","126^1","VUh1aHwxMTY5"
"1168","1","153B^1","VUh1aHwxMTY4"
"1169","1","100PC3^39","VUh1aHwxMTY5"
"1171F","1","100PC4^24","VUh1aHwxMTcxRg"
"1171F","1","100PC5^36","VUh1aHwxMTcxRg"
"1171F","1","100PC6^30","VUh1aHwxMTcxRg"
"1171B","1","100S1^35","VUh1aHwxMTcxQg"
"1168","1","100S1^64","VUh1aHwxMTY4"
"1168","1","100S2^50","VUh1aHwxMTY4"
"1168","1","100S4^17","VUh1aHwxMTY4"
"1171F","1","102^1","VUh1aHwxMTcxRg"
"1169","1","103^1","VUh1aHwxMTY5"
"1169","1","104^1","VUh1aHwxMTY5"
"1171F","1","104^1","VUh1aHwxMTcxRg"
"1169","1","106E^1","VUh1aHwxMTY5"
"1171F","1","106^1","VUh1aHwxMTcxRg"
