Action,id,label,from_label,from_id,to_label,to_id
Remove,56bfcf0f-c4cd-344e-5171-5d45d559b264,AX_APP_INSPECT,USER,037c95cd18ec73ace346df8f7b3bf570,CAMPUS,CDPH
Remove,7cbfcf0f-c4d1-42db-4898-a0d94aaa6908,AX_APP_INSPECT,USER,03eac82f080862bce067017fe6710ddf,CAMPUS,CDPH
Remove,84bfd952-8908-8bbe-3497-c447953624c0,AX_APP_INSPECT,USER,04405c6e09da0c7b68a8df1df5393e48,CAMPUS,CDPH
Remove,16bfcf0f-c4d6-7a49-0d19-eb837f5b47f9,AX_APP_INSPECT,USER,072cba390282a94394d7cb272226d056,CAMPUS,CDPH
Remove,1abfcf0f-c4db-aaad-d5a8-f65b4723048b,AX_APP_INSPECT,USER,0784930fec01ee8bdb324a7fe51e22a5,CAMPUS,CDPH
Remove,cebfd952-9e4d-cc0e-acab-15858bd28d64,AX_APP_INSPECT,USER,07a9db0e8d461462a874a46c175e6500,CAMPUS,CDPH
Remove,d4bfcf0f-c4f5-a427-95c4-f174af9692cc,AX_APP_INSPECT,USER,09ea20d39338e4b365e54c858f6551c2,CAMPUS,CDPH
Remove,18bfcf0f-c4ec-0518-6d42-0b68156b78c6,AX_APP_INSPECT,USER,0aed774b89ed2ee59e8ef2d86e781e67,CAMPUS,CDPH
Remove,1abfcf0f-c4f7-6bcc-09b7-cd5bc7557e08,AX_APP_INSPECT,USER,0b97e0b5332b166c97d308dae439dcc9,CAMPUS,CDPH
Remove,80bfcf0f-c4f7-f924-8db2-2b45705776a8,AX_APP_INSPECT,USER,0ba035d4ed42416fcddc9f99ebe736da,CAMPUS,CDPH
Remove,cebfcf0f-c4fc-6542-ee44-0b57ded89ba1,AX_APP_INSPECT,USER,0bf37ea0e20fb5a79d62d1447710dce1,CAMPUS,CDPH
Remove,8cbfd952-b1d7-ab21-8081-9675af64ab80,AX_APP_INSPECT,USER,0bf8765e0ca46c7816d9b23326136f93,CAMPUS,CDPH
Remove,9abfcf0f-c503-2192-0fa3-c209001daf92,AX_APP_INSPECT,USER,0d380a7a642cad7b2ebf1f25fdfa0531,CAMPUS,CDPH
Remove,7abfcf0f-c509-ea7e-5a2d-55ce6d05c3ca,AX_APP_INSPECT,USER,0e06947db1c3d971a43e18c46732e94d,CAMPUS,CDPH
Remove,5ebfcf0f-c514-9a45-58ac-ac63bfa34dae,AX_APP_INSPECT,USER,0eaa9806f4862ab19d55928b929d169d,CAMPUS,CDPH
Remove,8abfcf0f-c513-dfc8-43dc-12cd727cd4f4,AX_APP_INSPECT,USER,0ef47749948165ae32effd6fb5d641eb,CAMPUS,CDPH
Remove,38bfcf0f-c510-3f30-da21-eeed8b77bcce,AX_APP_INSPECT,USER,0f2f1e27de88aea7fffd8e367803b653,CAMPUS,CDPH
Remove,82bfcf0f-c51b-a6f4-56a3-bc22493f830d,AX_APP_INSPECT,USER,0f85d293dcd8e6f2e9d27103401963b3,CAMPUS,CDPH
Remove,2ebfcf0f-c517-7ae8-3260-149fb4662f4c,AX_APP_INSPECT,USER,0f95002d6e8aeda3ed6afe98cc47788e,CAMPUS,CDPH
Remove,c8bfcf0f-c515-baf0-176b-aea4b5265ae6,AX_APP_INSPECT,USER,0fea8b5a910acfa4cd61953ad8c739ee,CAMPUS,CDPH
Remove,46bfcf0f-c51c-7dcf-68ef-52ceff5b195e,AX_APP_INSPECT,USER,101dc6f8d653ad25e781c834315a9662,CAMPUS,CDPH
Remove,90bfcf0f-c528-8986-9b34-ae9344f1ebf8,AX_APP_INSPECT,USER,1080e4f616f4ace56cf872aacc559961,CAMPUS,CDPH
Remove,d0bfd952-c085-11f3-f4ef-fab76a57c54a,AX_APP_INSPECT,USER,10d2bb670198aaa3feadad6b7af63a98,CAMPUS,CDPH
Remove,86bfcf0f-c529-2ff1-6c6a-16a3f2327d22,AX_APP_INSPECT,USER,10fe0a8fac3a30de805b590f114c31e3,CAMPUS,CDPH
Remove,b4bfd952-d0ac-4c45-d6df-d7744e020257,AX_APP_INSPECT,USER,13fb066d6f2ee1012e8a1e5c41fd3b3e,CAMPUS,CDPH
Remove,b8bfcf0f-c534-c1fa-c9c8-25e535a82618,AX_APP_INSPECT,USER,1582c450a47262171b0c579bf31cc907,CAMPUS,CDPH
Remove,50bfd952-e402-640e-4439-6040de3c7696,AX_APP_INSPECT,USER,15ce542af7e38d6c309b644f24b7c7b9,CAMPUS,CDPH
Remove,4ebfcf0f-c534-74ba-02af-facdde4554ea,AX_APP_INSPECT,USER,16932e194a73336ce084c438fdeed929,CAMPUS,CDPH
Remove,5ebfcf0f-c540-c5a4-07fe-90c20be2f6a6,AX_APP_INSPECT,USER,16b8aec56cc1168d1ffcddd314a682f1,CAMPUS,CDPH
Remove,8abfcf0f-c53b-5600-d94d-c5fbebc6379b,AX_APP_INSPECT,USER,16eb31ba7906d09e3572ce42147ec5a3,CAMPUS,CDPH
Remove,debfcf0f-c54e-fdae-b220-f2f856bca4eb,AX_APP_INSPECT,USER,17e6f4243e36a5c08929384a5ac99b6d,CAMPUS,CDPH
Remove,74bfcf0f-c547-b0db-a5f7-1a2127a954b5,AX_APP_INSPECT,USER,17fbac8f3b4af538fb757f35117b83e9,CAMPUS,CDPH
Remove,cebfcf0f-c549-d83f-4812-b5a7149ca414,AX_APP_INSPECT,USER,183ed02309983cb6f1e466b6f1026c7e,CAMPUS,CDPH
Remove,84ba8f13-5241-3568-97e9-97f7d0d974f3,AX_APP_INSPECT,USER,18b36e359cfeda7a48f1c42c3eaea893,CAMPUS,CDPH
Remove,2cbfcf0f-c550-98a2-995e-32cc27c7ca0f,AX_APP_INSPECT,USER,1934cb025b86d54f6b2560d155ec087c,CAMPUS,CDPH
Remove,18bfcf0f-c560-44ce-70ad-4a01befe64b8,AX_APP_INSPECT,USER,1975c0cd646bfbd2da009ca0e7e6acdb,CAMPUS,CDPH
Remove,96bfcf0f-c559-1e86-e403-0d117439ebc8,AX_APP_INSPECT,USER,198f32f908e3b5b1700e900e3c516d80,CAMPUS,CDPH
Remove,4ebffae3-2bf5-9737-a149-7d37200f499f,AX_APP_INSPECT,USER,19dbb38c1fba5228d62b75d4c82f987c,CAMPUS,CDPH
Remove,a8bfd952-f5bc-40ab-300c-b9d37ec7cb13,AX_APP_INSPECT,USER,1a0ed7e8bc20fb6075b0cf1c63abeeac,CAMPUS,CDPH
Remove,7cbfcf0f-c567-364f-11da-3c7a5323e847,AX_APP_INSPECT,USER,1b0bdb9fa804b2e9fa5275fa81d897d5,CAMPUS,CDPH
Remove,94bfcf0f-c56a-199e-0586-c6effedd9232,AX_APP_INSPECT,USER,1bc30d24465fb1008603b3822e491700,CAMPUS,CDPH
Remove,6ebfcf0f-c572-ea75-33c6-3bdbfb9f9d47,AX_APP_INSPECT,USER,1c0ab22db0e1af8d82b60e44ba3194f2,CAMPUS,CDPH
Remove,d4bfcf0f-c56e-0101-6d54-d170ec453183,AX_APP_INSPECT,USER,1c3f51c516c3019b0e902ba638f4979c,CAMPUS,CDPH
Remove,f4bfcf0f-c579-0099-801f-d491d2cab8bf,AX_APP_INSPECT,USER,1d31962862ecf83abbe1b4afcdf199fd,CAMPUS,CDPH
Remove,84ba8f13-69fc-ba52-c439-cfb4cb4c8d13,AX_APP_INSPECT,USER,1d965296fdff9fa3497cff03d9572a04,CAMPUS,CDPH
Remove,f4bfcf0f-c579-85f0-370d-457f3410d1f8,AX_APP_INSPECT,USER,1e88cd18abfe93d04c37bed25dc38848,CAMPUS,CDPH
Remove,a0bfcf0f-c585-d089-336d-3f449f9d811e,AX_APP_INSPECT,USER,1fc92e2f3f9dfe65b1cac6c35af13f54,CAMPUS,CDPH
Remove,debfcf0f-c585-07a5-c4fd-45546f06d659,AX_APP_INSPECT,USER,2141fa263bb458877ee9008fb87ff533,CAMPUS,CDPH
Remove,74ba8f13-64f6-fcc2-f26e-a029033dd8ad,AX_APP_INSPECT,USER,2186664721c5d28d9e8639bec65bbf40,CAMPUS,CDPH
Remove,b4bfcf0f-c58b-1911-989e-a75ce5182c38,AX_APP_INSPECT,USER,223ab7a51691f12b3ae3f800d820c61f,CAMPUS,CDPH
Remove,3aba8f13-544c-8b50-5bab-795557b9bdf8,AX_APP_INSPECT,USER,22eca231188590bc1272327dcf0ac827,CAMPUS,CDPH
Remove,72bfcf0f-c591-7a2d-d688-d420383bf31a,AX_APP_INSPECT,USER,230b9df9919e2b4f93441deedf01fbe8,CAMPUS,CDPH
Remove,1ebfd953-0df7-89c3-702c-2479a300f534,AX_APP_INSPECT,USER,2348e34a49d963ed656623bb8292eb81,CAMPUS,CDPH
Remove,78bfcf0f-c598-028e-4858-cbc8d19242ce,AX_APP_INSPECT,USER,249337d8319a13a99be03589e347482a,CAMPUS,CDPH
Remove,a2ba8f13-487b-789d-eaae-69759512566f,AX_APP_INSPECT,USER,251d91460bac38c209730ee8ace259e2,CAMPUS,CDPH
Remove,4cbfcf0f-c59f-0a5d-a0ce-bde8be09dfa0,AX_APP_INSPECT,USER,25b39a1a08d32bf0570098391b9a6c41,CAMPUS,CDPH
Remove,bebfcf0f-c59d-b22a-4820-44cf943e7eba,AX_APP_INSPECT,USER,25dee71169d629e957cb42e64fb47f9a,CAMPUS,CDPH
Remove,18bfd953-303c-a875-e281-7f2b1c39d027,AX_APP_INSPECT,USER,25fc86117efb49bf87e61a3d3796de1b,CAMPUS,CDPH
Remove,6ebfcf0f-c5a4-0512-3728-2283f6c45cc4,AX_APP_INSPECT,USER,269cf71133c9b617390446f0429fe792,CAMPUS,CDPH
Remove,cebfcf0f-c5a8-e7c8-d6cc-dd8e6ba39b8e,AX_APP_INSPECT,USER,26c263e73fd6e5b1ce7f6162e08dd431,CAMPUS,CDPH
Remove,74bfd963-9675-0767-4747-dda14109095d,AX_APP_INSPECT,USER,2732ffa97d9918858168b80635570684,CAMPUS,CDPH
Remove,46bfcf0f-c5a2-87f1-8878-f9dbf6bc2acc,AX_APP_INSPECT,USER,27365417cf2c3697045ea5236469c5f9,CAMPUS,CDPH
Remove,c0bfcf0f-c5bd-8250-7c55-ade9320be25f,AX_APP_INSPECT,USER,2746857ed4e3eb860518acc0b059b7da,CAMPUS,CDPH
Remove,22bfcf0f-c5a8-271a-b01d-f5e4b27d493b,AX_APP_INSPECT,USER,276794b2a44aeeb34426e905ca4c9430,CAMPUS,CDPH
Remove,28bfd963-b5e1-bb43-ec9f-4c1632a130b3,AX_APP_INSPECT,USER,27a8f0494beb16667f037346706ce980,CAMPUS,CDPH
Remove,f8bfcf0f-c5a8-999e-f516-7991afe0c1c6,AX_APP_INSPECT,USER,280106bf5066249447652ca577bff26a,CAMPUS,CDPH
Remove,96bfd963-d0ab-8411-8cbe-25deaf447da0,AX_APP_INSPECT,USER,294d0da619d623d4d77c623dec2ffdcc,CAMPUS,CDPH
Remove,f2bfcf0f-c5af-1cef-ae10-6eef99b05345,AX_APP_INSPECT,USER,29d07379a5f59735e970ab52785d7548,CAMPUS,CDPH
Remove,bebfcf0f-c5b6-a5a5-33ea-2cbd74f844df,AX_APP_INSPECT,USER,2b9e05fd3af79df3f94c8b7490d96a96,CAMPUS,CDPH
Remove,cabfcf0f-c5c1-bdcd-e138-27198f063371,AX_APP_INSPECT,USER,2c7afcd675c564f22d99dd1a2dbac953,CAMPUS,CDPH
Remove,c2bfcf0f-c5c2-d9cb-f210-32bd37f62421,AX_APP_INSPECT,USER,2d1eefc5d8d576310d1ce91a57ad17c8,CAMPUS,CDPH
Remove,9ebfe89f-b1b9-4f6d-49be-13b6ead30c7c,AX_APP_INSPECT,USER,2da36f5a775af6108651c6ca5d341511,CAMPUS,CDPH
Remove,12bfcf0f-c5be-2381-efc4-b496402968a2,AX_APP_INSPECT,USER,2dbcf834b567f4e68fb818dce5ef3136,CAMPUS,CDPH
Remove,baba8f13-2258-2cc2-ed7f-4f1d6ef3fdfa,AX_APP_INSPECT,USER,2ec3b3df22f6826ed6932d658350ca94,CAMPUS,CDPH
Remove,30ba8f13-9970-63e2-8a3b-3df45c8df963,AX_APP_INSPECT,USER,2fff7613e0a2ceda6d01eaf124ad3fdb,CAMPUS,CDPH
Remove,d8bfcf0f-c5ce-be42-3474-fe8a8207211a,AX_APP_INSPECT,USER,30ddf78e95dc9a2e9a90b3bc86289cf6,CAMPUS,CDPH
Remove,d0bfd963-e000-307f-ebf0-11d17c07e634,AX_APP_INSPECT,USER,316e7b67eb38e3825c417325fce25d63,CAMPUS,CDPH
Remove,2abfe89e-30f0-af27-2eb9-dff58f244a00,AX_APP_INSPECT,USER,33a82498a3810f4974f5f14f9adeecb4,CAMPUS,CDPH
Remove,66bfd963-f041-4d87-7e97-e8756531c15b,AX_APP_INSPECT,USER,342785446ed7cc737951479212b9b6a4,CAMPUS,CDPH
Remove,86bff3b1-6bb1-32f9-d970-0f04a5afe519,AX_APP_INSPECT,USER,34be8b044d37975eddda004b0dc9c3dc,CAMPUS,CDPH
Remove,f0bfcf0f-c5dd-8e45-2c97-fa21cbf4e85b,AX_APP_INSPECT,USER,34e7c973ad5a8cb25ec822c622d97015,CAMPUS,CDPH
Remove,86ba8f13-3bac-42ed-acbe-ce1bb3876ef5,AX_APP_INSPECT,USER,36fe60eb3246b3c9e4306491d33c2d96,CAMPUS,CDPH
Remove,24ba8f13-2ac5-368a-0973-141e22068a57,AX_APP_INSPECT,USER,391a7b536298115f5911b624d2a8aca5,CAMPUS,CDPH
